Episode,Makespan,Coverage,Communication_Ratio,Inference_Time_ms
457,1000,99.68,97.2,26749.5
458,894,100.0,95.97,23356.3
459,1000,99.52,99.4,26294.16
460,1000,99.04,99.7,27345.49
461,565,100.0,98.23,15285.3
462,1000,99.36,98.1,27248.62
463,1000,99.68,98.6,38440.14
464,1000,99.84,98.7,43841.48
465,1000,99.36,96.7,44543.45
466,1000,99.04,99.3,45034.42
467,1000,99.2,98.8,47210.09
468,1000,99.36,99.2,44142.98
469,1000,99.36,99.1,44431.0
470,1000,99.68,99.4,43952.56
471,1000,99.84,95.4,45380.6
472,1000,99.84,98.9,44027.41
473,1000,99.68,98.9,44552.96
474,1000,99.36,97.5,45698.56
475,1000,99.36,98.4,47340.61
476,1000,99.52,99.5,46149.42
477,1000,98.72,97.0,48139.73
478,1000,99.68,98.8,47391.82
479,1000,99.36,94.1,49011.61
480,1000,99.68,96.4,51423.75
481,432,100.0,99.31,21300.7
482,1000,98.4,92.0,27048.51
483,1000,99.2,99.1,27822.68
484,1000,98.88,96.8,26919.83
485,1000,98.72,99.2,27634.4
486,1000,99.84,99.5,26954.79
487,1000,99.04,99.6,27194.97
488,1000,99.84,99.8,28237.86
489,602,100.0,98.67,18869.97
490,1000,99.84,99.9,49399.72
491,1000,98.4,99.9,48775.95
492,1000,99.52,97.7,46522.87
493,399,100.0,96.49,18599.18
494,1000,98.72,97.5,47600.01
495,1000,99.52,100.0,36645.73
496,1000,99.2,98.7,24323.37
497,1000,99.52,99.3,24323.53
498,1000,99.36,98.5,24005.45
499,1000,99.36,98.2,24376.6
500,1000,99.36,97.0,23938.32
